ITEM,Consumo
24/11/2002,12614.4242333542
25/11/2002,14912.0455065603
26/11/2002,15238.0811346664
27/11/2002,15314.0700810869
28/11/2002,15329.5527474626
29/11/2002,15358.1095497894
30/11/2002,14087.0306423060
01/12/2002,12789.4874869803
02/12/2002,14865.5715109075
03/12/2002,15111.9167685646
04/12/2002,15316.9363734764
05/12/2002,15409.7003848202
06/12/2002,15338.8179174448
07/12/2002,14171.1590439536
08/12/2002,12610.2789131741
09/12/2002,14185.0152496120
10/12/2002,14096.5944424202
11/12/2002,14471.6478571122
12/12/2002,14823.2752369478
13/12/2002,14883.3919711641
14/12/2002,13813.8714545822
15/12/2002,12818.7021982457
16/12/2002,15101.0530698369
17/12/2002,15215.9046409248
18/12/2002,15044.7475779479
19/12/2002,14782.7106469409
20/12/2002,14518.2370606812
21/12/2002,13397.9036295811
22/12/2002,12605.6767712336
23/12/2002,14426.2650587566
24/12/2002,13877.3190928931
25/12/2002,11983.7968881091
26/12/2002,14009.0126278392
27/12/2002,14127.0211627044
28/12/2002,13194.0205156065
29/12/2002,12292.7298161379
30/12/2002,13922.4435059240
31/12/2002,13449.6781254774
01/01/2003,11936.9216311859
02/01/2003,13867.2456514665
03/01/2003,14381.4919153529
04/01/2003,13639.6700953583
05/01/2003,12632.2059950960
06/01/2003,14834.1347685524
07/01/2003,15115.0804092152
08/01/2003,15035.2052743731
09/01/2003,14979.4957296974
10/01/2003,14855.2554544405
11/01/2003,13631.5343488967
12/01/2003,12336.2916866158
13/01/2003,14622.2229825208
14/01/2003,14793.4351343113
15/01/2003,14835.4847014894
16/01/2003,14902.1734204987
17/01/2003,14771.1518364756
18/01/2003,13513.7577640563
19/01/2003,12028.7661470533
20/01/2003,14037.7333870070
21/01/2003,14101.1704318057
22/01/2003,13988.1747465797
23/01/2003,13960.4561846533
24/01/2003,14132.1177234980
25/01/2003,13214.8677022001
26/01/2003,11923.0028771899
27/01/2003,13674.7698360110
28/01/2003,13536.1365103014
29/01/2003,13903.3386389067
30/01/2003,14076.7767457165
31/01/2003,13810.9558694750
01/02/2003,12497.4319462329
02/02/2003,11154.7530694323
03/02/2003,13461.2560239670
04/02/2003,13873.4248988912
05/02/2003,14010.1459651281
06/02/2003,14018.0458645280
07/02/2003,14233.5586995820
08/02/2003,13141.3486463353
09/02/2003,11843.3534915815
10/02/2003,13737.1310967886
11/02/2003,14271.8094432210
12/02/2003,14312.3080150287
13/02/2003,14080.7412838035
14/02/2003,13844.2753794674
15/02/2003,13581.3327368490
16/02/2003,11784.5237840360
17/02/2003,12057.4299865982
18/02/2003,14011.4340981485
19/02/2003,14098.3945647496
20/02/2003,14048.4639523006
21/02/2003,14127.3728676821
22/02/2003,13107.4692504764
23/02/2003,11699.6992550996
24/02/2003,13583.0780850140
25/02/2003,14057.8231565113
26/02/2003,14289.1037035207
27/02/2003,14244.2733836948
28/02/2003,14056.5663407599
01/03/2003,12675.4454111279
02/03/2003,11572.4764423339
03/03/2003,12534.6193294830
04/03/2003,11761.8451380528
05/03/2003,12936.9504637039
06/03/2003,13756.9847252256
07/03/2003,13899.3893191250
08/03/2003,12841.9190130648
09/03/2003,11818.1824618749
10/03/2003,13901.8641863519
11/03/2003,14346.7428861693
12/03/2003,14392.1142875589
13/03/2003,13981.4904142495
14/03/2003,13915.3396488731
15/03/2003,12676.6316905687
16/03/2003,11786.6636580937
17/03/2003,13813.2692490043
18/03/2003,14137.1838472620
19/03/2003,14160.1652459549
20/03/2003,14526.2537885655
21/03/2003,14522.9753003180
22/03/2003,12858.5478852889
23/03/2003,11559.2670238665
24/03/2003,14316.8357727919
25/03/2003,14473.2418961153
26/03/2003,14174.6133051956
27/03/2003,14318.0909707504
28/03/2003,14342.1765702849
29/03/2003,13130.2124071657
30/03/2003,11975.7683298646
31/03/2003,14047.3798374380
01/04/2003,14403.4998781785
02/04/2003,14183.0522350702
03/04/2003,14330.6896261540
04/04/2003,14408.0499061947
05/04/2003,13245.3406983416
06/04/2003,11935.0955128550
07/04/2003,14164.5687737461
08/04/2003,14601.9173580755
09/04/2003,14532.9652716951
10/04/2003,14481.1084385279
11/04/2003,14606.5437054430
12/04/2003,13551.5669661369
13/04/2003,12385.7056748270
14/04/2003,14485.0285051618
15/04/2003,14408.1362935810
16/04/2003,14570.6868581235
17/04/2003,13980.3604453663
18/04/2003,11726.6616923327
19/04/2003,12543.8745787910
20/04/2003,11908.6000068385
21/04/2003,12393.8041988955
22/04/2003,14741.7273479140
23/04/2003,14663.5470586728
24/04/2003,14611.4097936139
25/04/2003,14577.7185072963
26/04/2003,13151.1984278605
27/04/2003,12141.3928066231
28/04/2003,14253.1343136511
29/04/2003,14760.6812934344
30/04/2003,14792.2558265983
01/05/2003,12414.1687193234
02/05/2003,14092.2878014303
03/05/2003,13269.3551063600
04/05/2003,12209.7891645629
05/05/2003,14130.0624757987
06/05/2003,14294.8276517739
07/05/2003,14671.1570738735
08/05/2003,15123.9231686403
09/05/2003,15139.8205735891
10/05/2003,13753.6098353987
11/05/2003,12380.9407997734
12/05/2003,14764.7952991276
13/05/2003,14734.2699695933
14/05/2003,14860.0546978575
15/05/2003,14744.0003435944
16/05/2003,14649.5949209767
17/05/2003,13473.4923530533
18/05/2003,12284.4544226554
19/05/2003,14725.7670471206
20/05/2003,15017.8018268913
21/05/2003,15002.4846115793
22/05/2003,15183.2224162911
23/05/2003,15327.5708586746
24/05/2003,14079.5375488122
25/05/2003,12800.2405197099
26/05/2003,15147.6872425172
27/05/2003,15177.7924511595
28/05/2003,15093.3300705663
29/05/2003,15177.3077079583
30/05/2003,15105.4024255016
31/05/2003,13616.6628958359
01/06/2003,12480.3671783623
